run_id,likelihood,seed,temperature,label_noise,_step,_runtime,_timestamp,csgld/test/acc,csgld/test/bma_ce_nll,csgld/test/total_loss,csgld/train/mini_loss,_wandb,csgld/train/epoch,csgld/test/bma_acc,csgld/test/bma_nll,csgld/train/mini_idx,noise
1k5jq517,softmax,-3,10.0,0.8,1000,21013,1643822992,0.1774,23106.638671875,22736.693359375,118385.921875,{'runtime': 21014},999,0.2709,0.0,350,
t1t5ef58,softmax,-3,3.0,0.8,1000,20810,1643822735,0.213,21867.134765625,21953.517578125,114600.40625,{'runtime': 20812},999,0.3464,0.0,350,
44m7hr0k,softmax,-3,1e-05,0.8,1000,20760,1643822655,0.261,29142.4375,31134.646484375,31147.02734375,{'runtime': 20761},999,0.286,0.0,350,
zo6wb191,softmax,-3,0.0001,0.8,1000,21141,1643823035,0.2496,31384.603515625,33083.71484375,20684.0703125,{'runtime': 21142},999,0.2651,0.0,350,
z90nod5h,softmax,-3,0.001,0.8,1000,20736,1643822600,0.2597,29524.259765625,31333.0546875,31053.4140625,{'runtime': 20738},999,0.2882,0.0,350,
9u1j46qg,softmax,-3,0.01,0.8,1000,20756,1643822584,0.2944,22259.609375,22786.83984375,63173.203125,{'runtime': 20757},999,0.3403,0.0,350,
syn19604,softmax,-3,0.1,0.8,1000,20808,1643822535,0.578,17524.251953125,17411.3515625,107634.171875,{'runtime': 20809},999,0.602,0.0,350,
6yb3n5d6,softmax,-3,1.0,0.8,1000,20881,1643822571,0.3404,20789.3203125,20845.666015625,113813.6015625,{'runtime': 20882},999,0.4156,0.0,350,
qa0iqx6p,softmax,-2,10.0,0.8,1000,20842,1643822522,0.1562,23149.138671875,23110.31640625,119686.1484375,{'runtime': 20843},999,0.2933,0.0,350,
1iaqfa5y,softmax,-2,3.0,0.8,1000,20951,1643822603,0.2327,21735.25,21755.87890625,115812.828125,{'runtime': 20952},999,0.3562,0.0,350,
t173o58p,softmax,-2,1e-05,0.8,1000,20770,1643822294,0.2557,29147.984375,30629.919921875,30155.046875,{'runtime': 20771},999,0.2873,0.0,350,
nyno0vs1,softmax,-2,0.0001,0.8,1000,16994,1643815342,0.2395,30623.353515625,32363.853515625,42645.2265625,{'runtime': 16995},999,0.2679,0.0,350,
eq5nou4x,softmax,-2,0.001,0.8,1000,17067,1643814876,0.2582,28874.689453125,30259.587890625,34473.56640625,{'runtime': 17069},999,0.2783,0.0,350,
xw68cl9m,softmax,-2,0.01,0.8,1000,17143,1643814830,0.3006,22057.412109375,22683.3984375,61810.38671875,{'runtime': 17144},999,0.3469,0.0,350,
nqbzw3yj,softmax,-2,0.1,0.8,1000,17079,1643814744,0.566,17442.208984375,17374.111328125,110345.265625,{'runtime': 17081},999,0.6013,0.0,350,
s1jddhiy,softmax,-2,1.0,0.8,1000,17238,1643814866,0.3409,20825.576171875,20763.484375,115266.421875,{'runtime': 17240},999,0.4128,0.0,350,
jrxkoikv,softmax,-1,10.0,0.8,1000,17098,1643814633,0.1618,23131.333984375,23283.76953125,117043.328125,{'runtime': 17099},999,0.2745,0.0,350,
poieqf5s,softmax,-1,3.0,0.8,1000,17583,1643815083,0.2367,21831.60546875,21797.98828125,115280.1875,{'runtime': 17583},999,0.3307,0.0,350,
c3ppiz33,softmax,-1,1e-05,0.8,1000,17604,1643815060,0.2401,31296.138671875,32763.794921875,26149.431640625,{'runtime': 17605},999,0.2656,0.0,350,
zdp1xjd6,softmax,-1,0.0001,0.8,1000,17154,1643811864,0.2589,31073.859375,33025.76953125,23982.943359375,{'runtime': 17156},999,0.29,0.0,350,
d5rd7bls,softmax,-1,0.001,0.8,1000,17366,1643811532,0.251,30148.767578125,31732.76953125,30439.1953125,{'runtime': 17367},999,0.2759,0.0,350,
kib276gm,softmax,-1,0.01,0.8,1000,17226,1643811392,0.2817,24101.294921875,25039.876953125,62557.5,{'runtime': 17228},999,0.3195,0.0,350,
j7sskwma,softmax,-1,0.1,0.8,1000,17195,1643809022,0.5647,17605.70703125,17552.03515625,108730.0625,{'runtime': 17197},999,0.5938,0.0,350,
8v77b9nt,softmax,-1,1.0,0.8,1000,17148,1643808098,0.3332,20902.994140625,20885.666015625,116628.109375,{'runtime': 17149},999,0.4084,0.0,350,
eak3a0od,softmax,-3,10.0,0.5,1000,20845,1643802880,0.3165,19613.8828125,19541.16796875,110617.0078125,{'runtime': 20846},999,0.4246,0.0,350,
zbn2imv0,softmax,-3,3.0,0.5,1000,20721,1643802369,0.5029,16186.9912109375,15965.0302734375,101923.5234375,{'runtime': 20723},999,0.565,0.0,350,
l3hxbyv5,softmax,-3,1e-05,0.5,1000,20835,1643802242,0.5631,17767.873046875,18314.908203125,10801.724609375,{'runtime': 20837},999,0.6081,0.0,350,
kgany17t,softmax,-3,0.0001,0.5,1000,21072,1643802442,0.5479,18192.87890625,18989.583984375,9231.2861328125,{'runtime': 21074},999,0.5962,0.0,350,
cctz3wyw,softmax,-3,0.001,0.5,1000,16966,1643798309,0.5494,18114.8046875,18864.634765625,16380.2568359375,{'runtime': 16967},999,0.5965,0.0,350,
dc38em6t,softmax,-3,0.01,0.5,1000,21047,1643802349,0.5507,15692.3701171875,16632.4375,26415.44140625,{'runtime': 21049},999,0.619,0.0,350,
ukz4tr4p,softmax,-3,0.1,0.5,1000,20788,1643802075,0.7922,9879.5771484375,9924.423828125,82613.28125,{'runtime': 20789},999,0.821,0.0,350,
5p2lcs0e,softmax,-3,1.0,0.5,1000,20947,1643802114,0.6291,13218.6044921875,13266.474609375,91020.25,{'runtime': 20949},999,0.6828,0.0,350,
hc2v3hy4,softmax,-2,10.0,0.5,1000,20891,1643801983,0.2977,19710.576171875,20007.177734375,116632.1171875,{'runtime': 20892},999,0.4161,0.0,350,
10nrjs48,softmax,-2,3.0,0.5,1000,20857,1643801901,0.4965,16037.20703125,16037.4677734375,98921.234375,{'runtime': 20858},999,0.5696,0.0,350,
