augment,batch_size,burn_in,dir_noise,dirty_lik,label_noise,likelihood,lr,noise,prior_scale,seed,sgld_lr,temperature,run_id,train/acc,train/nll,train/ce_nll,train/ece,test/acc,test/nll,test/ce_nll,test/ece,likelihood_T
True,128,0,0.01,True,0.5,dirichlet,1e-07,0.01,1,-1,1e-07,1,gt5flyx0,0.85506,0.0,30771.6796875,0.1446947006967663,0.8173,0.0,7116.8798828125,0.1175765218511224,
True,128,0,0.001,True,0.8,dirichlet,1e-07,0.001,1,-1,1e-07,1,ct2y43zu,0.56334,0.0,77449.2578125,0.0662867008537054,0.5421,0.0,16144.9375,0.0497343441799282,
True,128,0,0.01,True,0.0,dirichlet,1e-07,0.01,1,-1,1e-07,1,nfigla6n,0.97882,0.0,5969.595703125,0.0352460033291578,0.9111,0.0,3631.151123046875,0.0124488912314177,
True,128,0,1e-05,True,0.5,dirichlet,1e-07,1e-05,1,-1,1e-07,1,b5s4buxb,0.7878,0.0,63212.7890625,0.0200803871145844,0.7415,0.0,16147.3408203125,0.0506328783839941,
True,128,0,0.5,True,0.5,dirichlet,1e-07,0.5,1,-1,1e-07,1,zctiz3je,0.60418,0.0,99755.2578125,0.4541789767988026,0.5974,0.0,19972.21484375,0.4474315867684781,
True,128,0,1e-05,True,0.2,dirichlet,1e-07,1e-05,1,-1,1e-07,1,o0xm5ot5,0.90974,0.0,32189.83984375,0.024142587558627,0.8562,0.0,11764.5322265625,0.0407269067212939,
True,128,0,0.1,True,0.1,dirichlet,1e-07,0.1,1,-1,1e-07,1,f9kudpt0,0.89374,0.0,33669.25,0.2963889088913798,0.8607,0.0,7416.77734375,0.2725456633001566,
True,128,0,0.01,True,0.2,dirichlet,1e-07,0.01,1,-1,1e-07,1,telvxwmo,0.93822,0.0,13463.9736328125,0.0561999606084823,0.8846,0.0,4481.2060546875,0.028449608258903,
True,128,0,0.001,True,0.0,dirichlet,1e-07,0.001,1,-1,1e-07,1,xjwxumd8,0.99518,0.0,2241.737548828125,0.0130487948417663,0.919,0.0,4432.720703125,0.0312931598752737,
True,128,0,0.5,True,0.0,dirichlet,1e-07,0.5,1,-1,1e-07,1,5y2p2xhm,0.79038,0.0,76901.484375,0.5459277392837405,0.7695,0.0,15556.248046875,0.5262443869873882,
True,128,0,0.1,True,0.0,dirichlet,1e-07,0.1,1,-1,1e-07,1,23bb0p3e,0.91404,0.0,29032.814453125,0.2716162327331304,0.8736,0.0,6638.94189453125,0.2423028681293129,
True,128,0,0.5,True,0.8,dirichlet,1e-07,0.5,1,-1,1e-07,1,3hbyc7eu,0.37058,0.0,112512.78125,0.2619613459120691,0.377,0.0,22495.5546875,0.2683082077987492,
True,128,0,0.0001,True,0.8,dirichlet,1e-07,0.0001,1,-1,1e-07,1,jowcwz3k,0.51016,0.0,97250.6796875,0.0503523910188674,0.4863,0.0,20399.806640625,0.0711274047523736,
True,128,0,0.1,True,0.5,dirichlet,1e-07,0.1,1,-1,1e-07,1,kbwz2pgh,0.78004,0.0,61963.66015625,0.4192355319584905,0.7628,0.0,12661.2861328125,0.4044526554666459,
True,128,0,1e-05,True,0.0,dirichlet,1e-07,1e-05,1,-1,1e-07,1,ppv6epos,0.99942,0.0,954.8086547851562,0.0054501268875599,0.9268,0.0,6891.9697265625,0.0369835721939802,
True,128,0,1e-05,True,0.1,dirichlet,1e-07,1e-05,1,-1,1e-07,1,o8gq3imt,0.95676,0.0,17675.33203125,0.0149102109676599,0.8907,0.0,9559.111328125,0.0412613215506077,
True,128,0,0.1,True,0.2,dirichlet,1e-07,0.1,1,-1,1e-07,1,tsm7d00n,0.87442,0.0,39304.9296875,0.3316487135654688,0.844,0.0,8426.97265625,0.3094093809574842,
True,128,0,0.5,True,0.2,dirichlet,1e-07,0.5,1,-1,1e-07,1,h6o4zlu4,0.71918,0.0,85879.0390625,0.5143909388715029,0.7016,0.0,17290.8125,0.4975819653362035,
True,128,0,1e-05,True,0.8,dirichlet,1e-07,1e-05,1,-1,1e-07,1,phwag5d7,0.45758,0.0,130865.34375,0.1343386800092459,0.4395,0.0,27682.64453125,0.1436737554326653,
True,128,0,0.001,True,0.2,dirichlet,1e-07,0.001,1,-1,1e-07,1,q6vgzjin,0.94658,0.0,13424.3544921875,0.0151752664244174,0.876,0.0,6055.87744140625,0.0294469756156205,
True,128,0,0.0001,True,0.1,dirichlet,1e-07,0.0001,1,-1,1e-07,1,i52g8wuf,0.96444,0.0,11692.763671875,0.0052374917837977,0.8999,0.0,7117.17724609375,0.0318740976572037,
True,128,0,0.01,True,0.8,dirichlet,1e-07,0.01,1,-1,1e-07,1,4w5po1to,0.59826,0.0,76168.7109375,0.2640783204333484,0.5772,0.0,15542.9130859375,0.2446150955483317,
True,128,0,0.01,True,0.1,dirichlet,1e-07,0.01,1,-1,1e-07,1,b3ual1bn,0.95878,0.0,9753.029296875,0.0442582965299486,0.8984,0.0,4041.67236328125,0.018807517671585,
True,128,0,0.0001,True,0.2,dirichlet,1e-07,0.0001,1,-1,1e-07,1,2465wy03,0.93404,0.0,20027.38671875,0.0056680324041842,0.8664,0.0,8564.201171875,0.0367787463888526,
True,128,0,0.0001,True,0.0,dirichlet,1e-07,0.0001,1,-1,1e-07,1,o9is3bmn,0.99896,0.0,1237.1395263671875,0.0078132673513889,0.9282,0.0,5432.74853515625,0.030685213509202,
True,128,0,0.001,True,0.5,dirichlet,1e-07,0.001,1,-1,1e-07,1,y9cuhcph,0.8437,0.0,34304.55078125,0.0527034545853733,0.7903,0.0,9051.287109375,0.0239512898564338,
True,128,0,0.1,True,0.8,dirichlet,1e-07,0.1,1,-1,1e-07,1,udoy1d0f,0.5314,0.0,99198.1171875,0.372240739671737,0.5317,0.0,19831.591796875,0.3718764692999422,
True,128,0,0.001,True,0.1,dirichlet,1e-07,0.001,1,-1,1e-07,1,m0amhuwq,0.97312,0.0,7594.43359375,0.0122003909286856,0.9011,0.0,5257.9052734375,0.0303182821437716,
True,128,0,0.0001,True,0.5,dirichlet,1e-07,0.0001,1,-1,1e-07,1,1f78itnf,0.81262,0.0,48590.390625,0.0188478538683056,0.7567,0.0,12831.49609375,0.0271077654749155,
True,128,0,0.5,True,0.1,dirichlet,1e-07,0.5,1,-1,1e-07,1,29yugkoj,0.75744,0.0,81304.015625,0.5331396720322967,0.7402,0.0,16380.216796875,0.5164852385930716,
True,128,0,0.0001,True,0.0,dirichlet,1e-07,0.0001,1,-2,1e-07,1,tjll4ehf,0.99894,0.0,1200.309814453125,0.0076407438999414,0.922,0.0,5807.0234375,0.0362341606080531,1.0
True,128,0,0.0001,True,0.2,dirichlet,1e-07,0.0001,1,-2,1e-07,1,436iez75,0.9333,0.0,20277.44140625,0.0071755387741326,0.8668,0.0,8443.3427734375,0.0381745462492108,1.0
True,128,0,0.1,True,0.5,dirichlet,1e-07,0.1,1,-3,1e-07,1,devgzpzb,0.76828,0.0,62558.6875,0.4085876834426821,0.7463,0.0,12809.76953125,0.3897720418527722,1.0
True,128,0,0.1,True,0.1,dirichlet,1e-07,0.1,1,-2,1e-07,1,rolxxjk6,0.89856,0.0,33439.390625,0.3011885510146618,0.8605,0.0,7429.7431640625,0.2720658644303679,1.0
True,128,0,0.1,True,0.0,dirichlet,1e-07,0.1,1,-3,1e-07,1,6a79ln3d,0.91592,0.0,28629.03515625,0.2700699987319112,0.8736,0.0,6626.16357421875,0.2391803395181894,1.0
True,128,0,0.001,True,0.2,dirichlet,1e-07,0.001,1,-3,1e-07,1,jzpve9og,0.94612,0.0,13379.2021484375,0.0162429388234019,0.8784,0.0,6072.7822265625,0.0232182581394911,1.0
True,128,0,0.1,True,0.5,dirichlet,1e-07,0.1,1,-2,1e-07,1,6ah50zsz,0.76838,0.0,62641.625,0.4082547564134002,0.7507,0.0,12782.2158203125,0.393210571462661,1.0
True,128,0,0.01,True,0.5,dirichlet,1e-07,0.01,1,-3,1e-07,1,1nhwnbsc,0.85254,0.0,31027.33984375,0.1446610915535688,0.8197,0.0,7113.23095703125,0.1256266457363963,1.0
