augment,batch_size,burn_in,dir_noise,dirty_lik,label_noise,likelihood,likelihood_T,lr,prior_scale,seed,sgld_lr,temperature,run_id,train/acc,train/nll,train/ce_nll,train/ece,test/acc,test/nll,test/ce_nll,test/ece
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,-1,1e-06,0.001,ziq9pjmo,0.91038,0.0,58808.66796875,0.0784608676314353,0.8921,0.0,8261.14453125,0.0370603650480509
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,-1,1e-06,0.001,qbdh0yfo,1.0,0.0,139.5873260498047,0.0017643870282173,0.9373,0.0,4374.21728515625,0.0294583458930253
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,-1,1e-06,0.01,3kkfohoc,0.54786,0.0,286185.96875,0.3890348827326297,0.6111,0.0,29539.4453125,0.097503349635005
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,-1,1e-06,0.0001,i67394w1,0.90914,0.0,62774.5078125,0.0800818171358108,0.8919,0.0,7961.837890625,0.0413622414916753
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,-1,1e-06,0.001,iupfoeg2,0.81818,0.0,123897.609375,0.1611150818359852,0.8449,0.0,12080.4873046875,0.0471029611542821
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,-1,1e-06,0.0001,wuvcl6rl,0.55146,0.0,344601.6875,0.4018975659179688,0.6271,0.0,29231.291015625,0.1332317869365215
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,-1,1e-06,0.1,gm1nha5k,0.28136,0.0,230776.671875,0.3329331656342745,0.2981,0.0,37988.828125,0.1273512726902961
True,128,0,0.1,True,0.1,softmax,1,1e-07,1,-1,1e-06,0.1,jei9k2vv,0.91368,0.0,26128.2890625,0.0641524009591341,0.8746,0.0,8714.5185546875,0.0215449991419911
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,-1,1e-06,0.1,3vxos76r,0.55368,0.0,140732.859375,0.2333523223701119,0.6102,0.0,24418.41015625,0.0354708901330828
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,-1,1e-06,0.0001,9p06gbe1,1.0,0.0,132.80355834960938,0.0016619399440288,0.9363,0.0,4654.1953125,0.0342755785495042
True,128,0,0.1,True,0.5,softmax,1,1e-07,1,-1,1e-06,0.001,mwyup3i9,0.55486,0.0,327221.78125,0.3951610957437753,0.6296,0.0,28821.46484375,0.1256952314510941
True,128,0,0.1,True,0.8,softmax,1,1e-07,1,-1,1e-06,0.0001,pyu9mmr4,0.28472,0.0,621325.875,0.6466312384104729,0.2691,0.0,67020.140625,0.365255118726194
True,128,0,0.1,True,0.0,softmax,1,1e-07,1,-1,1e-06,1.0,wxusih8s,0.91376,0.0,18122.01953125,0.0506970400971174,0.8778,0.0,4975.84326171875,0.0254927231937647
True,128,0,0.1,True,0.2,softmax,1,1e-07,1,-1,1e-06,1.0,b1fkdd86,0.8596,0.0,33258.890625,0.2067753836974501,0.8342,0.0,7204.64501953125,0.1890099488347769
