Name,Agent,State,Notes,User,Tags,Created,Runtime,Sweep,aug,aug_dir,aug_scale,augment,batch_size,burn_in,ckpt_path,dir_noise,dirty_lik,epochs,label_noise,likelihood,likelihood_T,lr,momentum,n_aug,n_cycle,n_cycles,n_samples,noise,prior_scale,seed,sgld_lr,temperature,val_size,weight_decay,csgld/test/acc,csgld/test/bma_acc,csgld/test/bma_ce_nll,csgld/test/bma_nll,csgld/test/total_loss,csgld/train/epoch,csgld/train/mini_idx,csgld/train/mini_loss,sgd/test/acc,sgd/test/best_acc,sgd/test/best_epoch,sgd/test/total_loss,sgd/train/epoch,sgd/train/mini_idx,sgd/train/mini_loss,sgld/test/acc,sgld/test/bma_acc,sgld/test/total_loss,sgld/train/epoch,sgld/train/mini_idx,sgld/train/mini_loss,test/acc,test/avg_loss,test/best_acc,test/best_epoch,test/bma_acc,test/epoch,test/nll,test/total_loss,train/avg_mini_loss,train/epoch,train/mini_idx,train/mini_loss,train/mini_nll,val/acc,val/avg_loss,val/best_acc,val/best_epoch,val/bma_acc,val/epoch,val/nll,val/total_loss,logits_temp,test/ce_nll
1001768-deeplearn/data-aug-likelihood/950rkj8u,s559zt0g,running,-,snym,,2022-01-27T16:56:24.000Z,39936,950rkj8u,,,,True,128,0,,0.1,True,,0.0,softmax,1,1e-07,,,,,,,1,-3.0,1e-06,0.1,,,0.8949,0.9196,5135.83154296875,0.0,6486.40478515625,920,350,1091.2325439453125,,,,,,,,,,,,,,0.9196,,,,,,,,,,,,,,,,,,,,,,5135.83154296875
1001767-deeplearn/data-aug-likelihood/950rkj8u,bv2db9xc,finished,-,snym,,2022-01-27T16:56:22.000Z,28239,950rkj8u,,,,True,128,0,,0.1,True,,0.0,softmax,1,1e-07,,,,,,,1,-3.0,1e-06,1.0,,,0.8493,0.8768,5026.97607421875,0.0,4890.9609375,999,350,16554.974609375,,,,,,,,,,,,,,0.8768,,,,,,,,,,,,,,,,,,,,,,5026.97607421875
14402546-deeplearn/data-aug-likelihood/950rkj8u,ugwxbknz,finished,-,snym,,2022-01-27T16:24:42.000Z,20962,950rkj8u,,,,True,128,0,,0.1,True,,0.0,softmax,1,1e-07,,,,,,,1,-2.0,1e-06,1e-05,,,0.9283,0.9309,3604.470947265625,0.0,3634.223876953125,999,350,67.23544311523438,,,,,,,,,,,,,,0.9309,,,,,,,,,,,,,,,,,,,,,,3604.470947265625
14402544-deeplearn/data-aug-likelihood/950rkj8u,nabzbrkx,finished,-,snym,,2022-01-27T16:08:36.000Z,20867,950rkj8u,,,,True,128,0,,0.1,True,,0.0,softmax,1,1e-07,,,,,,,1,-2.0,1e-06,0.0001,,,0.9291,0.9335,3493.143310546875,0.0,3508.96875,999,350,281.5580139160156,,,,,,,,,,,,,,0.9335,,,,,,,,,,,,,,,,,,,,,,3493.143310546875
14402545-deeplearn/data-aug-likelihood/950rkj8u,woq07l3x,finished,-,snym,,2022-01-27T16:08:35.000Z,21245,950rkj8u,,,,True,128,0,,0.1,True,,0.0,softmax,1,1e-07,,,,,,,1,-2.0,1e-06,0.01,,,0.9237,0.9275,3414.990966796875,0.0,3486.96337890625,999,350,257.0189208984375,,,,,,,,,,,,,,0.9275,,,,,,,,,,,,,,,,,,,,,,3414.990966796875
14402543-deeplearn/data-aug-likelihood/950rkj8u,tm7mq3y4,finished,-,snym,,2022-01-27T16:04:25.000Z,20885,950rkj8u,,,,True,128,0,,0.1,True,,0.0,softmax,1,1e-07,,,,,,,1,-2.0,1e-06,0.1,,,0.907,0.9205,3458.387939453125,0.0,3502.5029296875,999,350,1771.8839111328125,,,,,,,,,,,,,,0.9205,,,,,,,,,,,,,,,,,,,,,,3458.387939453125
1001065-deeplearn/data-aug-likelihood/950rkj8u,tqrnyjzt,finished,-,snym,,2022-01-24T21:07:09.000Z,17850,950rkj8u,,,,True,128,0,,0.1,True,,0.0,softmax,1,1e-07,,,,,,,1,-3.0,1e-06,1e-05,,,0.9341,0.9349,4583.50439453125,0.0,5083.84228515625,999,350,0.5213019251823425,,,,,,,,,,,,,,0.9349,,,,,,,,,,,,,,,,,,,,,,4583.50439453125
1001066-deeplearn/data-aug-likelihood/950rkj8u,w32jtboo,finished,-,snym,,2022-01-24T21:07:06.000Z,41554,950rkj8u,,,,True,128,0,,0.1,True,,0.0,softmax,1,1e-07,,,,,,,1,-3.0,1e-06,0.0001,,,0.9316,0.9369,4463.27001953125,0.0,5077.58544921875,999,350,10.585763931274414,,,,,,,,,,,,,,0.9369,,,,,,,,,,,,,,,,,,,,,,4463.27001953125
1001056-deeplearn/data-aug-likelihood/950rkj8u,l24on48r,finished,-,snym,,2022-01-24T20:45:23.000Z,43294,950rkj8u,,,,True,128,0,,0.1,True,,0.0,softmax,1,1e-07,,,,,,,1,-3.0,1e-06,0.001,,,0.9326,0.9355,4419.78759765625,0.0,4939.99072265625,999,350,2.40625262260437,,,,,,,,,,,,,,0.9355,,,,,,,,,,,,,,,,,,,,,,4419.78759765625
1001055-deeplearn/data-aug-likelihood/950rkj8u,nrrafr6s,finished,-,snym,,2022-01-24T20:45:22.000Z,43521,950rkj8u,,,,True,128,0,,0.1,True,,0.0,softmax,1,1e-07,,,,,,,1,-3.0,1e-06,0.01,,,0.9206,0.9301,4750.63330078125,0.0,5628.29443359375,999,350,691.3092651367188,,,,,,,,,,,,,,0.9301,,,,,,,,,,,,,,,,,,,,,,4750.63330078125
