run_id,likelihood,seed,temperature,csgld/test/total_loss,_step,_timestamp,csgld/train/epoch,csgld/test/bma_acc,csgld/test/bma_ce_nll,csgld/train/mini_loss,_wandb,_runtime,csgld/test/acc,csgld/test/bma_nll,csgld/train/mini_idx
kyceygrf,dirichlet,-3,1e-05,339291.4375,1000,1644669416,999,0.9336,8397.5927734375,1051349.625,{'runtime': 21230},21228,0.9295,336198.625,350
7gwrl7z1,dirichlet,-3,0.0001,338287.09375,1000,1644665436,999,0.935,8300.8759765625,1045608.6875,{'runtime': 17452},17451,0.9301,334085.875,350
vrfz4igx,dirichlet,-3,0.001,335775.59375,1000,1644665472,999,0.9346,8332.0380859375,1048586.75,{'runtime': 17668},17667,0.9287,334975.21875,350
bmf8df26,dirichlet,-3,0.01,333598.5,1000,1644668544,999,0.936,8134.1123046875,1048770.375,{'runtime': 21353},21352,0.9338,332025.03125,350
rmw2w3xz,dirichlet,-3,0.1,330051.75,1000,1644658591,999,0.9356,7955.50341796875,1057297.0,{'runtime': 21220},21218,0.9305,330382.28125,350
4euqawgg,dirichlet,-3,1.0,331994.15625,1000,1644653772,999,0.9269,7983.7548828125,1129767.75,{'runtime': 17631},17629,0.9204,331399.78125,350
2sxd8ve6,dirichlet,-2,1e-05,333246.96875,1000,1644653642,999,0.9361,8257.1494140625,1063438.875,{'runtime': 17696},17694,0.9298,333922.125,350
9x8mj2a9,dirichlet,-2,0.0001,339766.78125,1000,1644653237,999,0.9332,8543.3896484375,1050673.125,{'runtime': 17369},17368,0.9269,336804.0625,350
vlxeme1v,dirichlet,-2,0.001,337929.0,1000,1644653425,999,0.936,8310.3427734375,1053582.625,{'runtime': 17582},17581,0.9298,333633.28125,350
kb51yezq,dirichlet,-2,1.0,335410.59375,1000,1644647747,999,0.9298,7945.80615234375,1083646.25,{'runtime': 21062},21060,0.9226,331057.40625,350
r0certro,dirichlet,-2,0.01,331370.71875,1000,1644647987,999,0.936,8198.419921875,1062726.125,{'runtime': 21303},21300,0.9312,332623.21875,350
zt59lmrd,dirichlet,-2,0.1,325252.34375,1000,1644647852,999,0.9357,7738.919921875,1052246.875,{'runtime': 21167},21165,0.9315,326401.125,350
