run_id,likelihood,seed,temperature,label_noise,_timestamp,csgld/train/epoch,csgld/test/bma_acc,csgld/test/total_loss,csgld/test/bma_ce_nll,csgld/train/mini_loss,_step,_wandb,_runtime,csgld/test/acc,csgld/test/bma_nll,csgld/train/mini_idx,noise
29holtv9,softmax,,10.0,0.8,1644613969,499,0.0093,53147.53125,53420.2890625,531168.5,500,{'runtime': 61834},61833,0.0056,0.0,750,
n4nqk4x5,softmax,,3.0,0.8,1644613604,499,0.0311,52215.75390625,52308.93359375,534029.4375,500,{'runtime': 62502},62500,0.0172,0.0,750,
sugd9qm7,softmax,,1e-05,0.8,1644613549,499,0.0605,98322.28125,80278.1484375,3855.39599609375,500,{'runtime': 62447},62445,0.0499,0.0,750,
t9uh4j5o,softmax,,0.0001,0.8,1644612741,499,0.0615,99226.1796875,81143.6015625,1311.9068603515625,500,{'runtime': 61638},61637,0.0485,0.0,750,
47fmt42q,softmax,,0.001,0.8,1644607928,499,0.0621,97938.1015625,80166.015625,998.9345703125,500,{'runtime': 61774},61773,0.0518,0.0,750,
hr0ds8ar,softmax,,0.1,0.8,1644608815,499,0.1014,61050.484375,52738.625,219018.3125,500,{'runtime': 62662},62661,0.0641,0.0,750,
ywhscy50,softmax,,0.01,0.8,1644608266,499,0.0596,96781.9140625,78102.5859375,3974.763671875,500,{'runtime': 62112},62111,0.0466,0.0,750,
qla96b55,softmax,,1.0,0.8,1644607921,499,0.0714,49878.87109375,50267.96484375,528529.125,500,{'runtime': 61769},61768,0.0548,0.0,750,
r6cwjc5u,softmax,,10.0,0.5,1644608256,499,0.069,49349.62890625,49895.37890625,531335.0625,500,{'runtime': 62104},62103,0.0445,0.0,750,
3g0x6e4a,softmax,,3.0,0.5,1644608243,499,0.1907,41973.26953125,42783.5546875,491390.40625,500,{'runtime': 62092},62090,0.152,0.0,750,
1zt3c5e2,softmax,,0.0001,0.5,1644607720,499,0.2666,64646.7890625,54813.42578125,1599.5029296875,500,{'runtime': 61599},61598,0.2335,0.0,750,
ql7lp2eq,softmax,,1e-05,0.5,1644607759,499,0.2603,65166.65234375,55101.76171875,598.062255859375,500,{'runtime': 61637},61637,0.2264,0.0,750,
byfolc7v,softmax,,0.001,0.5,1644608468,499,0.2718,64094.4375,53927.2578125,1161.0821533203125,500,{'runtime': 62470},62468,0.2279,0.0,750,
lzewxrdd,softmax,,0.01,0.5,1644607511,499,0.2759,63803.77734375,53550.6328125,3111.489013671875,500,{'runtime': 61512},61511,0.2241,0.0,750,
0bgukqvb,softmax,,0.1,0.5,1644607757,499,0.3079,53326.01953125,43048.9609375,79199.328125,500,{'runtime': 61759},61759,0.212,0.0,750,
6cxeuko3,softmax,,1.0,0.5,1644607564,499,0.3094,35347.55859375,36194.53515625,468439.78125,500,{'runtime': 61567},61566,0.2801,0.0,750,
9lm4lv5y,softmax,,0.0001,0.2,1644607937,499,0.4659,41325.44140625,36345.90625,1244.9564208984375,500,{'runtime': 61941},61939,0.4324,0.0,750,
etvhl93i,softmax,,1e-05,0.2,1644607629,499,0.4689,41037.546875,35950.68359375,217.4735107421875,500,{'runtime': 61632},61631,0.4363,0.0,750,
lh8ov5ag,softmax,,10.0,0.2,1644607674,499,0.1747,41386.52734375,42239.796875,447303.28125,500,{'runtime': 61677},61676,0.1231,0.0,750,
oc837h69,softmax,,3.0,0.2,1644607993,499,0.3307,32975.26171875,33703.26953125,380296.03125,500,{'runtime': 61996},61995,0.2671,0.0,750,
of29kqph,softmax,,0.001,0.2,1644582685,499,0.4753,40450.1796875,35340.08984375,1429.1009521484375,500,{'runtime': 46996},46995,0.4438,0.0,750,
iiut3v3c,softmax,,0.01,0.2,1644596283,499,0.4718,40663.421875,35318.60546875,816.66650390625,500,{'runtime': 61747},61746,0.4218,0.0,750,
ctm1f565,softmax,,10.0,0.1,1644596064,499,0.2079,39359.10546875,40138.40234375,423452.375,500,{'runtime': 61648},61647,0.1511,0.0,750,
gml4jb5m,softmax,,0.1,0.2,1644596499,499,0.4803,38629.3359375,32330.193359375,33149.48046875,500,{'runtime': 62082},62082,0.3964,0.0,750,
iy9zt6zg,softmax,,1.0,0.2,1644596782,499,0.4505,26300.650390625,26941.265625,322521.21875,500,{'runtime': 62367},62365,0.4029,0.0,750,
6q2c2jxl,softmax,,3.0,0.1,1644596362,499,0.3586,30417.810546875,31447.951171875,349919.0,500,{'runtime': 62006},62005,0.3056,0.0,750,
ofo4sbra,softmax,,1e-05,0.1,1644598174,499,0.531,34163.734375,30446.326171875,383.0230712890625,500,{'runtime': 63861},63861,0.5074,0.0,750,
ldngow20,softmax,,0.0001,0.1,1644595900,499,0.5274,34057.01953125,30339.982421875,582.7340087890625,500,{'runtime': 61604},61602,0.5057,0.0,750,
ilvpywpd,softmax,,0.001,0.1,1644581165,499,0.5342,34197.15625,30384.498046875,381.94573974609375,500,{'runtime': 46992},46991,0.5084,0.0,750,
a0owttaz,softmax,,0.01,0.1,1644581173,499,0.5291,34442.40625,30226.806640625,2140.209716796875,500,{'runtime': 47000},46999,0.492,0.0,750,
wmypbx7t,softmax,,1.0,0.1,1644595671,499,0.4914,23791.861328125,24445.484375,280634.34375,500,{'runtime': 61498},61497,0.4444,0.0,750,
ytl0vgfp,softmax,,0.1,0.1,1644595980,499,0.5325,33395.87890625,28395.45703125,21081.3125,500,{'runtime': 61808},61806,0.4645,0.0,750,
al2bx1wz,softmax,,3.0,0.0,1644581216,499,0.4041,28142.474609375,28926.724609375,256847.578125,500,{'runtime': 47097},47096,0.3413,0.0,750,
tirf0k9t,softmax,,10.0,0.0,1644581059,499,0.2381,37378.58984375,38277.66796875,367759.375,500,{'runtime': 46939},46939,0.1822,0.0,750,
pzt7x28m,softmax,,1e-05,0.0,1644580965,499,0.5971,26986.365234375,24516.576171875,181.56724548339844,500,{'runtime': 46899},46898,0.5905,0.0,750,
qhkn1m1j,softmax,,0.001,0.0,1644595639,499,0.5972,27507.59765625,24772.14453125,679.9357299804688,500,{'runtime': 61573},61572,0.5811,0.0,750,
yxq82wit,softmax,,0.0001,0.0,1644596270,499,0.6047,26853.51171875,24299.38671875,283.2054138183594,500,{'runtime': 62205},62203,0.5906,0.0,750,
17d0qh6z,softmax,,0.01,0.0,1644593904,499,0.6024,27094.740234375,24325.630859375,1722.4609375,500,{'runtime': 62970},62970,0.5808,0.0,750,
das889k1,softmax,,0.1,0.0,1644592677,499,0.5902,26958.34765625,23677.84375,8878.5283203125,500,{'runtime': 61867},61866,0.5554,0.0,750,
